old_url,new_url,status_code,priority,source,title,note
"https://devlo.ch/","","200","HIGH","crawl","Agence de prospection commerciale B2B: Démarchage de Nouveaux Prospects Qualifiés - devlo",""
"https://devlo.ch/telephone","","301","LOW","crawl","",""
"https://devlo.ch/academy-notre-appel/","","200","MEDIUM","crawl","Commerciaux B2B: formation prospection commerciale LinkedIn, emails et appels: notre rendez-vous",""
"https://devlo.ch/formation-prospection-b2b/","","200","MEDIUM","crawl","Formation accélérée pour Commerciaux B2B [2024]: génération de prospects et prospection",""
"https://devlo.ch/en/","","200","HIGH","crawl","B2B cold outreach agency: prospecting new qualified leads - devlo","EN page → redirect to FR equivalent"
"https://devlo.ch/de/","","200","HIGH","crawl","B2B-Agentur für Kaltakquise: Suche nach neuen qualifizierten Leads – devlo","DE page → redirect to FR equivalent"
"https://devlo.ch/resultats-cas-etudes/","","200","LOW","crawl","Résultats & études de cas: notre agence de prospection aide ces entreprises B2B",""
"https://devlo.ch/blog-list/","","200","MEDIUM","crawl","devlo Blog - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo",""
"https://devlo.ch/telephone/","","200","LOW","crawl","Entreprise de prospection commerciale B2B: Génération de rendez-vous",""
"https://devlo.ch/resultats/biocarburants-52-rendez-vous/","","200","HIGH","crawl","Comment identifier les meilleurs prospects parmi plusieurs Ideal Customer Profiles (ICP) grâce à des campagnes de prospection commerciale? - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Old FR case study URL → map to /etudes-de-cas/[slug]"
"https://devlo.ch/resultats/proprete-urbaine-71-rendez-vous/","","200","HIGH","crawl","Comment cette société de gestion du nettoyage a obtenu 71 rendez-vous qualifiés avec des décideurs B2B dans les plus grandes villes de Suisse, France et Belgique. - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Old FR case study URL → map to /etudes-de-cas/[slug]"
"https://devlo.ch/resultats/mobilite-40-prospects/","","200","HIGH","crawl","+40 prospects intéressés sur 286 entreprises prospectées par e-mail, appels téléphoniques et prospection LinkedIn - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Old FR case study URL → map to /etudes-de-cas/[slug]"
"https://devlo.ch/resultats/biodiversite-70-rendez-vous/","","200","HIGH","crawl","Comment cette association a externalisé son acquisition de clients et obtenu 70 rendez-vous qualifiés avec des entreprises comme l'UEFA, TAG Heuer, Rothschild, etc. - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Old FR case study URL → map to /etudes-de-cas/[slug]"
"https://devlo.ch/resultats/cybersecurite-4500-entreprises/","","200","HIGH","crawl","Cybersécurité B2B: Agence de prospection commerciale email et téléphonique - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Old FR case study URL → map to /etudes-de-cas/[slug]"
"https://devlo.ch/resultats/audiovisuel-16-rendez-vous/","","200","HIGH","crawl","Agence Prospection B2B Suisse | +200 Leads/Mois | devlo - Génération de prospects qualifiés pour cet intégrateur audiovisuel","Old FR case study URL → map to /etudes-de-cas/[slug]"
"https://devlo.ch/resultats/immobilier-11-prospects/","","200","HIGH","crawl","L’immobilier et la prospection commerciale B2B: comment cibler et démarcher des prospects pour la location de surfaces commerciales - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Old FR case study URL → map to /etudes-de-cas/[slug]"
"https://devlo.ch/resultats/formation-14-rendez-vous/","","200","HIGH","crawl","Planification de Rendez-vous B2B avec Décideurs “formation & développement des compétences” (L&D): 45% des prospects répondent [Agence de Prospection Commerciale B2B] - Agence Prospection B2B Suisse | +200 Leads/Mois | devlo","Old FR case study URL → map to /etudes-de-cas/[slug]"
